TrackName,Year,Driver,Team,LapNumber,Position,StintNumber,Compound,TyreLife,FreshTyre,LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,GapToLeader,AirTemp,TrackTemp,Humidity,WindSpeed,WindDirection,Rainfall
United States Grand Prix,2024,VER,Red Bull Racing,0.017857142857142856,0.1,0.1,0.4,0.016666666666666666,1.0,1.0444570019521215,0.0,0.4139628069454433,0.3420836330011302,0.5944444444444444,0.46944444444444444,0.5527777777777778,0.017158121853488133,0.556,0.58375,0.38,0.0033333333333333335,0.325,0.0
United States Grand Prix,2024,VER,Red Bull Racing,0.03571428571428571,0.1,0.1,0.4,0.03333333333333333,1.0,1.0273399773964862,0.27581424021370593,0.41093188122880925,0.340593855953971,0.5972222222222222,0.48333333333333334,0.5527777777777778,0.013562108291379842,0.562,0.5900000000000001,0.37,0.012,0.0,0.0
United States Grand Prix,2024,VER,Red Bull Racing,0.05357142857142857,0.1,0.1,0.4,0.05,1.0,1.262190485975547,0.27720127401623346,0.4740984280283571,0.5108907839309565,0.5916666666666667,0.32222222222222224,0.43333333333333335,0.013315524504263845,0.5660000000000001,0.5875,0.37,0.016,0.5388888888888889,0.0
United States Grand Prix,2024,VER,Red Bull Racing,0.10714285714285714,0.1,0.1,0.4,0.1,1.0,1.0251618206102948,0.2781156888934552,0.4091441487722183,0.33790198294462137,0.5805555555555556,0.49166666666666664,0.5583333333333333,0.01288400287681085,0.562,0.5925,0.33,0.012,0.9777777777777777,0.0
United States Grand Prix,2024,VER,Red Bull Racing,0.125,0.1,0.1,0.4,0.11666666666666667,1.0,1.024668653036063,0.2757423199424638,0.4088461933627864,0.34008013973081275,0.5944444444444444,0.49444444444444446,0.5555555555555556,0.014538169115380665,0.562,0.5900000000000001,0.33,0.011333333333333332,0.8194444444444444,0.0
United States Grand Prix,2024,VER,Red Bull Racing,0.14285714285714285,0.1,0.1,0.4,0.13333333333333333,1.0,1.0282749409226344,0.27544436453303195,0.4106955717661564,0.342135004623446,0.5861111111111111,0.49722222222222223,0.5527777777777778,0.022500770574334736,0.56,0.5862499999999999,0.35,0.018666666666666665,0.8805555555555555,0.0
United States Grand Prix,2024,VER,Red Bull Racing,0.16071428571428573,0.1,0.1,0.4,0.15,1.0,1.027761224699476,0.2763896023836433,0.4102743244631666,0.3410972978526662,0.5916666666666667,0.4888888888888889,0.5527777777777778,0.03046337203328881,0.562,0.58375,0.37,0.013333333333333334,0.9416666666666667,0.0
United States Grand Prix,2024,VER,Red Bull Racing,0.17857142857142858,0.1,0.1,0.4,0.16666666666666666,1.0,1.0271242165827597,0.27657454022398026,0.4101099352717559,0.3404397410870235,0.5944444444444444,0.49166666666666664,0.5527777777777778,0.036103976163567246,0.562,0.58375,0.37,0.01,0.7944444444444444,0.0
United States Grand Prix,2024,VER,Red Bull Racing,0.19642857142857142,0.1,0.1,0.4,0.18333333333333332,1.0,1.0299599301345936,0.27710880509606495,0.41132230555840954,0.3415288194801192,0.5888888888888889,0.49166666666666664,0.5527777777777778,0.04277201274016234,0.564,0.5875,0.36,0.004666666666666666,0.9305555555555556,0.0
United States Grand Prix,2024,VER,Red Bull Racing,0.21428571428571427,0.1,0.1,0.4,0.2,1.0,1.029302373368951,0.27613274427206413,0.41166135826569406,0.34150827083119284,0.6,0.49444444444444446,0.5527777777777778,0.05031336689612658,0.562,0.58875,0.36,0.012666666666666666,0.85,0.0
United States Grand Prix,2024,VER,Red Bull Racing,0.23214285714285715,0.1,0.1,0.4,0.21666666666666667,1.0,1.026774889551012,0.2751258604746738,0.4103667933833351,0.3412822356930032,0.6027777777777777,0.49444444444444446,0.5527777777777778,0.05583067913284702,0.56,0.58875,0.36,0.01,0.875,0.0
United States Grand Prix,2024,VER,Red Bull Racing,0.25,0.1,0.1,0.4,0.23333333333333334,1.0,1.025850200349327,0.27588616048494813,0.4123291893557998,0.3376348505085791,0.6,0.49166666666666664,0.5527777777777778,0.062467892736052605,0.5660000000000001,0.5974999999999999,0.35,0.006,0.011111111111111112,0.0
United States Grand Prix,2024,VER,Red Bull Racing,0.26785714285714285,0.1,0.1,0.4,0.25,1.0,1.0294051166135827,0.27603000102743247,0.41309976369053736,0.34027535189561287,,0.49166666666666664,0.5527777777777778,0.0678105414568992,0.568,0.59375,0.35,0.010666666666666668,0.85,0.0
United States Grand Prix,2024,VER,Red Bull Racing,0.2857142857142857,0.1,0.1,0.4,0.26666666666666666,1.0,1.0277714990239393,0.2756395766978321,0.41221617178670505,0.3399157505394021,0.5944444444444444,0.49444444444444446,0.5555555555555556,0.07038939689715401,0.568,0.5925,0.35,0.01,0.7444444444444445,0.0
United States Grand Prix,2024,VER,Red Bull Racing,0.30357142857142855,0.1,0.1,0.4,0.2833333333333333,1.0,1.0290763382307613,0.2763587794102538,0.41316140963731635,0.3395561491831912,0.5916666666666667,0.49166666666666664,0.5555555555555556,0.07592725778280078,0.568,0.595,0.35,0.012,0.0,0.0
United States Grand Prix,2024,VER,Red Bull Racing,0.32142857142857145,0.1,0.1,0.4,0.3,1.0,1.0266207746840645,0.27588616048494813,0.4125963217918422,0.3381382924072742,,0.5,0.5583333333333333,0.08092057947189973,0.5660000000000001,0.595,0.35,0.017333333333333333,0.5722222222222222,0.0
